ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR_X,LINEAR_Y,LINEAR_Z,GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUNDLEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time  ,Date
-0.7837,-0.0909,9.8145,-0.7729,-0.0806,9.7758,-0.0038,-0.0106,-0.0092,0.0027,-0.0005,0.0007,30,-42.14,-27.06,-40.94,121.19,0.47,4.52,5,23.8,,,,NaN,,,,0 / 0,26507,2018-08-11 08:38:53:445
-0.7789,-0.0802,9.8217,-0.7723,-0.0797,9.7759,-0.0052,0.0028,0.0011,0.0015,-0.0005,0.0007,30,-41.44,-27.37,-40.95,121.77,0.47,4.51,5,20.436,,,,NaN,,,,0 / 0,27007,2018-08-11 08:38:53:945
-0.7825,-0.0885,9.8336,-0.7725,-0.0775,9.7759,-0.0056,-0.006,0,0.0015,-0.0005,0.002,30,-41.76,-26.48,-40.34,120.28,0.45,4.52,5,22.244,,,,NaN,,,,0 / 0,27507,2018-08-11 08:38:54:445
-0.7406,-0.0742,9.8564,-0.7697,-0.0759,9.7761,0.0062,-0.0046,0.0095,0.0015,-0.0005,-0.0005,30,-41.94,-26.46,-41.22,120.24,0.44,4.51,5,26.053,,,,NaN,,,,0 / 0,28007,2018-08-11 08:38:54:945
-0.792,-0.0742,9.848,-0.7718,-0.0801,9.7759,-0.006,-0.0005,0.0036,0.0003,0.0007,0.0007,30,-42.67,-27.08,-40.05,120.68,0.47,4.51,5,21.822,,,,NaN,,,,0 / 0,28507,2018-08-11 08:38:55:445
-0.7944,-0.1029,9.8432,-0.7723,-0.0795,9.7759,0.0009,-0.0093,0.0137,-0.001,0.0019,0.0007,30,-41.58,-26.5,-39.45,120.32,0.46,4.51,5,21.706,,,,NaN,,,,0 / 0,29007,2018-08-11 08:38:55:945
-0.7741,-0.0813,9.8348,-0.7705,-0.0793,9.776,-0.0006,-0.0069,-0.0082,-0.001,-0.0005,-0.0005,30,-41.07,-26.78,-40.35,121.8,0.46,4.51,5,26.08,,,,NaN,,,,0 / 0,29507,2018-08-11 08:38:56:445
-0.7681,-0.0909,9.8336,-0.7657,-0.0791,9.7764,0.0009,-0.0105,-0.0082,0.0003,-0.0005,0.0007,30,-41.05,-26.19,-40.34,120.86,0.46,4.48,5,26.081,,,,NaN,,,,0 / 0,30006,2018-08-11 08:38:56:944
-0.7777,-0.0778,9.8408,-0.7705,-0.0801,9.776,-0.0071,-0.0039,0.002,-0.001,-0.0018,0.0007,30,-41.59,-26.48,-40.63,120.26,0.46,4.51,5,23.25,,,,NaN,,,,0 / 0,30507,2018-08-11 08:38:57:445
-0.7645,-0.0813,9.8516,-0.7707,-0.0779,9.776,-0.0039,0.0021,-0.0004,0.0003,0.0007,0.0007,30,-41.78,-27.4,-39.17,121.26,0.46,4.51,5,25.49,,,,NaN,,,,0 / 0,31007,2018-08-11 08:38:57:945
-0.7753,-0.0778,9.8396,-0.7719,-0.0777,9.7759,-0.0054,-0.0004,0.0033,0.0003,-0.0018,0.0007,30,-41.77,-26.79,-39.75,121.22,0.46,4.52,5,23.738,,,,NaN,,,,0 / 0,31507,2018-08-11 08:38:58:445
-0.7837,-0.0826,9.8348,-0.7723,-0.0783,9.7759,-0.0072,-0.0034,-0.0057,0.0003,-0.0005,0.0007,30,-41.8,-27.66,-40.95,122.11,0.46,4.51,5,22.225,,,,NaN,,,,0 / 0,32008,2018-08-11 08:38:58:946
-0.7837,-0.0789,9.8301,-0.771,-0.0778,9.776,-0.0053,0.0005,-0.0052,0.0003,-0.0005,0.0007,30,-42.3,-27.09,-39.46,121.26,0.46,4.51,5,23.717,,,,NaN,,,,0 / 0,32507,2018-08-11 08:38:59:445
-0.7729,-0.0849,9.8528,-0.768,-0.0779,9.7762,-0.0012,0.0016,0.005,0.0003,-0.0005,-0.0005,30,-42.12,-26.49,-39.74,120.29,0.46,4.49,5,22.658,,,,NaN,,,,0 / 0,33006,2018-08-11 08:38:59:944
-0.7801,-0.0742,9.8492,-0.7733,-0.0803,9.7758,-0.0019,0.0043,-0.0003,0.0003,-0.0005,0.0007,30,-41.6,-27.41,-38.88,121.27,0.47,4.52,5,27.825,,,,NaN,,,,0 / 0,33506,2018-08-11 08:39:00:444
-0.7789,-0.0754,9.8336,-0.7725,-0.0795,9.7758,-0.0038,-0.0023,-0.003,0.0003,-0.0005,-0.0005,30,-41.24,-26.48,-40.64,120.81,0.46,4.52,5,21.409,,,,NaN,,,,0 / 0,34007,2018-08-11 08:39:00:945
-0.7896,-0.0789,9.8444,-0.775,-0.0787,9.7757,-0.008,0,0.0057,0.0003,-0.0005,0.0007,30,-40.69,-26.2,-39.75,120.84,0.46,4.53,5,24.785,,,,NaN,,,,0 / 0,34508,2018-08-11 08:39:01:446
-0.7837,-0.0861,9.8336,-0.7671,-0.0787,9.7763,0.001,-0.0056,0.0021,0.0003,-0.0005,0.0007,30,-41.42,-27.08,-40.35,121.81,0.46,4.49,5,23.316,,,,NaN,,,,0 / 0,35006,2018-08-11 08:39:01:944
-0.7525,-0.0718,9.8588,-0.7713,-0.0756,9.776,0.0058,0.0007,0.0014,0.0015,-0.0005,0.0007,30,-41.61,-27.06,-41.24,121.18,0.45,4.52,5,21.286,,,,NaN,,,,0 / 0,35507,2018-08-11 08:39:02:445
-0.7717,-0.0694,9.8552,-0.7741,-0.0782,9.7757,-0.0074,-0.0075,0.0051,0.0003,-0.0005,-0.0005,30,-41.44,-27.37,-40.95,121.75,0.45,4.52,5,20.582,,,,NaN,,,,0 / 0,36006,2018-08-11 08:39:02:944
-0.7813,-0.0802,9.8396,-0.7722,-0.0774,9.7759,-0.0036,-0.0036,0.0018,-0.001,-0.0005,0.002,30,-42.67,-27.7,-38.88,121.61,0.45,4.51,5,21.943,,,,NaN,,,,0 / 0,36507,2018-08-11 08:39:03:445
-0.7681,-0.0921,9.8444,-0.776,-0.0808,9.7756,0.0078,-0.0118,0.0037,0.0003,-0.0005,0.0007,30,-42.68,-27.68,-39.47,121.61,0.46,4.55,5,23.064,,,,NaN,,,,0 / 0,37008,2018-08-11 08:39:03:946
-0.7633,-0.0718,9.8576,-0.7747,-0.0776,9.7757,-0.0004,0.0025,-0.0033,0.0015,-0.0005,0.0007,30,-41.96,-26.75,-41.82,121.14,0.45,4.53,5,20.643,,,,NaN,,,,0 / 0,37507,2018-08-11 08:39:04:445
-0.7705,-0.0897,9.8456,-0.7682,-0.078,9.7762,-0.0031,-0.0054,0.0012,0.0015,-0.0005,0.0007,30,-42.33,-27.98,-39.48,122.19,0.46,4.49,5,20.972,,,,NaN,,,,0 / 0,38007,2018-08-11 08:39:04:945
-0.7741,-0.0813,9.8324,-0.769,-0.0775,9.7761,0.0068,-0.0094,-0.0072,0.0003,-0.0005,0.0007,30,-41.78,-27.09,-39.76,121.23,0.45,4.5,5,24.66,,,,NaN,,,,0 / 0,38507,2018-08-11 08:39:05:445
-0.7597,-0.0706,9.8612,-0.7732,-0.0792,9.7758,0.0087,-0.0019,0.005,0.0015,-0.0005,-0.0005,30,-41.95,-26.76,-41.23,121.19,0.46,4.53,5,24.121,,,,NaN,,,,0 / 0,39006,2018-08-11 08:39:05:944
-0.7896,-0.0754,9.8468,-0.7679,-0.0772,9.7762,-0.0073,0.0034,-0.0045,0.0015,-0.0005,0.0007,30,-42.33,-27.65,-41.24,122.11,0.45,4.49,5,24.094,,,,NaN,,,,0 / 0,39506,2018-08-11 08:39:06:444
-0.7729,-0.0826,9.8348,-0.7692,-0.0786,9.7761,-0.0043,0.0017,-0.0001,0.0003,-0.0005,0.0007,30,-41.07,-26.78,-40.35,121.81,0.46,4.5,5,24.422,,,,NaN,,,,0 / 0,40007,2018-08-11 08:39:06:945
-0.7813,-0.0849,9.8372,-0.768,-0.0776,9.7762,-0.0035,0.008,0.0009,-0.001,-0.0005,0.0007,30,-41.59,-26.8,-39.46,121.28,0.46,4.49,5,25.666,,,,NaN,,,,0 / 0,40507,2018-08-11 08:39:07:445
-0.7813,-0.0885,9.8408,-0.7694,-0.0782,9.7761,-0.0065,-0.01,-0.0019,0.0015,-0.0005,0.002,30,-41.24,-26.78,-40.64,121.76,0.45,4.5,5,23.372,,,,NaN,,,,0 / 0,41008,2018-08-11 08:39:07:946
